Phase,Setpoint_kPa,Length_mm,Std_mm,n_samples
Extension,100,164.77,0.013,14
Extension,110,163.81,0.136,35
Extension,120,161.94,0.353,36
Extension,130,160.96,0.012,44
Extension,140,160.34,0.072,38
Extension,150,153.62,0.116,37
Extension,160,151.6,0.055,27
Extension,170,149.76,0.077,35
Extension,180,147.97,0.055,38
Extension,190,147.56,0.218,30
Extension,200,146.03,0.185,30
Extension,210,144.71,0.084,38
Extension,220,143.6,0.077,48
Retraction,220,143.73,0.059,37
Retraction,210,144.89,0.045,15
Retraction,200,145.64,0.074,22
Retraction,190,147.45,0.047,39
Retraction,180,148.12,0.037,35
Retraction,170,150.18,0.029,15
Retraction,160,152.08,0.062,36
Retraction,150,154.39,0.005,29
Retraction,140,157.02,0.055,37
Retraction,130,160.12,0.005,18
Retraction,120,162.16,0.029,36
Retraction,110,164.9,0.021,41
Retraction,100,166.22,0.006,34
