Time_s,Length_mm,Pressure_kPa
1,157.66,0
2.1,157.66,0
3.1,157.66,0
4.1,157.66,0
5.1,157.66,0
6.1,157.66,0
7.3,157.65,0
8.3,157.65,0
9.3,157.66,0
10.3,157.65,0
11.3,157.65,0
12.3,157.65,0
13.3,157.66,0
14.4,157.66,0
15.4,157.66,0
16.4,157.66,0
17.4,157.65,0
18.4,157.65,0
19.5,157.65,0
20.5,157.66,0
21.6,157.66,0
22.6,157.66,0
23.6,157.67,0
24.6,157.67,0
25.6,157.67,0
26.7,157.66,0
27.7,157.66,0
28.7,157.65,0
29.7,157.65,0
30.7,157.65,15
31.7,157.65,20
32.8,157.66,20
33.8,157.66,20
34.8,157.66,20
35.8,157.66,20
36.9,157.66,20
37.9,157.66,20
38.9,157.66,20
39.9,157.66,20
40.9,157.66,20
42,157.66,20
43,157.65,20
44,157.65,20
45.1,157.66,20
46.1,157.66,20
47.1,157.66,20
48.1,157.66,20
49.2,157.66,20
50.2,157.66,20
51.2,157.66,20
52.2,157.66,20
53.2,157.66,20
54.3,157.65,20
55.3,157.65,20
56.3,157.65,20
57.4,157.66,20
58.4,157.65,20
59.4,157.66,20
60.4,157.66,11.5
61.4,157.66,0
62.4,157.66,0
63.5,157.65,0
64.5,157.66,0
65.5,157.66,0
66.5,157.66,0
67.6,157.66,0
68.6,157.65,0
69.6,157.65,0
70.6,157.65,0
71.6,157.66,0
72.6,157.67,0
73.7,157.67,0
74.7,157.67,0
75.7,157.67,0
76.7,157.67,0
77.8,157.66,0
78.8,157.66,0
79.9,157.66,0
80.9,157.66,0
81.9,157.66,0
82.9,157.66,0
84,157.66,0
85,157.66,0
86,157.66,0
87,157.66,0
88.1,157.65,0
89.1,157.65,0
90.1,157.66,1
91.1,157.65,30
92.1,157.65,30
93.1,157.65,30
94.2,157.66,30
95.2,157.66,30
96.2,157.66,30
97.2,157.66,30
98.2,157.65,30
99.2,157.65,30
100.2,157.65,30
101.3,157.66,30
102.3,157.65,30
103.4,157.65,30
104.4,157.65,30
105.4,157.65,30
106.4,157.65,30
107.4,157.66,30
108.4,157.66,30
109.5,157.65,30
110.5,157.65,30
111.5,157.65,30
112.5,157.66,30
113.5,157.66,30
114.5,157.66,30
115.5,157.66,30
116.6,157.66,30
117.6,157.67,30
118.6,157.67,30
119.6,157.66,30
120.6,157.66,25
121.6,157.66,0
122.7,157.66,0
123.7,157.67,0
124.7,157.67,0
125.7,157.68,0
126.8,157.68,0
127.8,157.67,0
128.8,157.66,0
129.8,157.66,0
130.9,157.66,0
131.9,157.66,0
132.9,157.66,0
133.9,157.66,0
134.9,157.66,0
135.9,157.66,0
136.9,157.67,0
137.9,157.69,0
139,157.69,0
140,157.68,0
141,157.67,0
142,157.66,0
143,157.66,0
144,157.66,0
145,157.66,0
146,157.67,0
147.1,157.67,0
148.1,157.67,0
149.1,157.67,0
150.1,157.67,3.6
151.2,157.66,40
152.2,157.66,40
153.3,157.66,40
154.3,157.66,40
155.3,157.66,40
156.3,157.66,40
157.4,157.67,40
158.4,157.67,40
159.4,157.67,40
160.4,157.66,40
161.5,157.66,40
162.5,157.65,40
163.5,157.65,40
164.5,157.65,40
165.5,157.65,40
166.5,157.65,40
167.6,157.65,40
168.6,157.65,40
169.6,157.65,40
170.6,157.64,40
171.7,157.65,40
172.7,157.65,40
173.7,157.65,40
174.7,157.65,40
175.7,157.65,40
176.8,157.65,40
177.8,157.65,40
178.8,157.65,40
179.8,157.65,40
180.8,157.65,40
181.9,157.65,6.2
182.9,157.64,0
183.9,157.65,0
184.9,157.65,0
185.9,157.66,0
186.9,157.66,0
187.9,157.66,0
189,157.65,0
190,157.65,0
191,157.65,0
192,157.65,0
193.1,157.66,0
194.1,157.66,0
195.1,157.66,0
196.1,157.66,0
197.2,157.66,0
198.2,157.66,0
199.2,157.66,0
200.3,157.66,0
201.3,157.66,0
202.3,157.66,0
203.3,157.66,0
204.4,157.66,0
205.4,157.65,0
206.4,157.65,0
207.4,157.65,0
208.5,157.65,0
209.5,157.65,0
210.5,157.65,6.5
211.5,157.65,50
212.5,157.65,50
213.5,157.66,50
214.5,157.66,50
215.6,157.66,50
216.6,157.65,50
217.6,157.65,50
218.7,157.65,50
219.7,157.66,50
220.7,157.66,50
221.7,157.66,50
222.8,157.66,50
223.8,157.66,50
224.8,157.66,50
225.8,157.67,50
226.8,157.67,50
227.9,157.67,50
228.9,157.66,50
229.9,157.66,50
231,157.65,50
232,157.65,50
233,157.65,50
234,157.65,50
235.1,157.65,50
236.1,157.66,50
237.1,157.66,50
238.1,157.66,50
239.1,157.65,50
240.1,157.65,50
241.1,157.65,18.2
242.2,157.65,0
243.2,157.65,0
244.2,157.66,0
245.2,157.66,0
246.2,157.66,0
247.3,157.66,0
248.3,157.66,0
249.3,157.66,0
250.3,157.66,0
251.3,157.66,0
252.3,157.66,0
253.3,157.65,0
254.3,157.65,0
255.3,157.65,0
256.3,157.65,0
257.4,157.65,0
258.4,157.65,0
259.4,157.65,0
260.4,157.65,0
261.4,157.66,0
262.4,157.66,0
263.5,157.66,0
264.5,157.66,0
265.5,157.66,0
266.6,157.66,0
267.6,157.66,0
268.6,157.67,0
269.6,157.66,0
270.6,157.66,16
271.7,157.66,60
272.7,157.66,60
273.7,157.66,60
274.7,157.66,60
275.7,157.66,60
276.8,157.65,60
277.8,157.65,60
278.8,157.65,60
279.8,157.65,60
280.8,157.65,60
281.8,157.64,60
282.8,157.65,60
283.9,157.65,60
284.9,157.65,60
285.9,157.64,60
286.9,157.64,60
287.9,157.64,60
289,157.64,60
290,157.63,60
291,157.62,60
292,157.63,60
293,157.63,60
294.1,157.64,60
295.1,157.64,60
296.1,157.64,60
297.1,157.63,60
298.2,157.65,60
299.2,157.65,60
300.2,157.65,60
301.2,157.65,20.6
302.2,157.65,0
303.2,157.66,0
304.2,157.67,0
305.3,157.66,0
306.3,157.65,0
307.3,157.64,0
308.3,157.63,0
309.4,157.64,0
310.4,157.65,0
311.5,157.65,0
312.5,157.64,0
313.5,157.64,0
314.6,157.64,0
315.6,157.64,0
316.6,157.64,0
317.6,157.63,0
318.6,157.63,0
319.6,157.64,0
320.7,157.65,0
321.7,157.65,0
322.7,157.65,0
323.7,157.65,0
324.8,157.64,0
325.8,157.64,0
326.9,157.64,0
327.9,157.65,0
328.9,157.65,0
330,157.65,0
331,157.64,21.9
332,157.64,70
333.1,157.64,70
334.1,157.64,70
335.1,157.64,70
336.2,157.63,70
337.2,157.63,70
338.2,157.63,70
339.3,157.64,70
340.3,157.64,70
341.3,157.63,70
342.3,157.63,70
343.3,157.64,70
344.3,157.64,70
345.3,157.64,70
346.3,157.64,70
347.4,157.63,70
348.4,157.61,70
349.4,157.62,70
350.4,157.62,70
351.5,157.64,70
352.5,157.64,70
353.5,157.64,70
354.5,157.63,70
355.6,157.62,70
356.6,157.62,70
357.6,157.63,70
358.6,157.63,70
359.6,157.63,70
360.6,157.63,50
361.6,157.63,0
362.6,157.62,0
363.7,157.62,0
364.7,157.62,0
365.7,157.63,0
366.7,157.64,0
367.7,157.63,0
368.7,157.62,0
369.7,157.62,0
370.7,157.62,0
371.8,157.63,0
372.8,157.63,0
373.8,157.63,0
374.8,157.62,0
375.8,157.62,0
376.9,157.62,0
377.9,157.62,0
378.9,157.62,0
379.9,157.62,0
380.9,157.62,0
382,157.63,0
383,157.63,0
384,157.63,0
385,157.63,0
386,157.63,0
387,157.63,0
388,157.62,0
389.1,157.61,0
390.1,157.61,0
391.1,157.61,54.2
392.1,157.62,80
393.1,157.62,80
394.1,157.62,80
395.1,157.62,80
396.2,157.62,80
397.2,157.63,80
398.2,157.64,80
399.2,157.64,80
400.2,157.64,80
401.2,157.64,80
402.3,157.64,80
403.3,157.65,80
404.3,157.65,80
405.3,157.64,80
406.3,157.63,80
407.3,157.63,80
408.4,157.63,80
409.4,157.63,80
410.4,157.63,80
411.4,157.63,80
412.4,157.63,80
413.5,157.63,80
414.6,157.63,80
415.6,157.63,80
416.6,157.64,80
417.6,157.64,80
418.7,157.64,80
419.7,157.64,80
420.7,157.64,53.3
421.7,157.64,0
422.8,157.62,0
423.8,157.6,0
424.8,157.59,0
425.8,157.58,0
426.8,157.59,0
427.8,157.59,0
428.9,157.6,0
429.9,157.61,0
430.9,157.62,0
432,157.62,0
433,157.62,0
434,157.63,0
435,157.63,0
436,157.64,0
437,157.63,0
438,157.63,0
439.1,157.62,0
440.1,157.61,0
441.1,157.61,0
442.2,157.6,0
443.2,157.6,0
444.2,157.61,0
445.2,157.61,0
446.2,157.62,0
447.3,157.62,0
448.4,157.61,0
449.4,157.6,0
450.4,157.59,9.3
451.4,157.6,90
452.4,157.61,90
453.4,157.63,90
454.4,157.64,90
455.5,157.64,90
456.5,157.64,90
457.5,157.64,90
458.5,157.64,90
459.5,157.64,90
460.5,157.64,90
461.5,157.64,90
462.5,157.66,90
463.6,157.66,90
464.6,157.65,90
465.6,157.65,90
466.6,157.64,90
467.6,157.65,90
468.6,157.67,90
469.6,157.68,90
470.7,157.68,90
471.7,157.67,90
472.7,157.66,90
473.7,157.66,90
474.7,157.65,90
475.8,157.65,90
476.8,157.65,90
477.8,157.65,90
478.8,157.65,90
479.8,157.65,90
480.8,157.64,45
481.9,157.64,0
482.9,157.62,0
483.9,157.61,0
484.9,157.6,0
486,157.6,0
487,157.61,0
488,157.61,0
489,157.61,0
490,157.61,0
491,157.6,0
492,157.61,0
493,157.63,0
494.1,157.63,0
495.1,157.63,0
496.1,157.62,0
497.1,157.62,0
498.1,157.63,0
499.2,157.62,0
500.2,157.61,0
501.2,157.59,0
502.2,157.59,0
503.2,157.59,0
504.2,157.6,0
505.3,157.6,0
506.3,157.6,0
507.3,157.6,0
508.4,157.6,0
509.4,157.6,0
510.5,157.6,10
511.5,157.61,100
512.5,157.63,100
513.5,157.65,100
514.5,157.65,100
